# Index Terms for T2058 付法藏因緣傳
# Format: TERM | CHINESE

# === THE 23 PATRIARCHS ===
Mahākāśyapa | 摩訶迦葉
Ānanda | 阿難
Śāṇavāsa | 商那和修
Upagupta | 憂波毱多
Dhītika | 提多迦
Micchaka | 彌遮迦
Buddhanandin | 佛陀難提
Buddhamitra | 佛陀蜜多
Pārśva | 脇比丘
Puṇyayaśas | 富那奢
Aśvaghoṣa | 馬鳴
Vīra | 比羅
Nāgārjuna | 龍樹
Āryadeva | 迦那提婆
Rāhula | 羅睺羅
Saṅghanandi | 僧伽難提
Saṅghayaśas | 僧伽耶舍
Kumāralāta | 鳩摩羅馱
Jāyata | 闍夜多
Vasubandhu | 婆修槃陀
Manorhita | 摩奴羅
Haklenayaśas | 鶴勒那
Siṃha | 師子

# === HISTORICAL FIGURES: ROYALTY ===
Ajātaśatru | 阿闍世
Aśoka | 阿恕伽
Bimbisāra | 瓶沙王
Kaniṣka | 罽昵吒
Kuṇāla | 拘那羅
Kuṇāla | 駒那羅
Tiṣyarakṣā | 帝失羅叉
Mihirakula | 彌羅掘
Śuddhodana | 白淨
Māyā | 摩耶
Siṃhamati (Aśoka's grandson) | 式摩提
Kaniṣka, King of Kuṣāṇa | 罽昵吒王
Wentuo (Cakravartin king) | 文陀竭
King of Parthia | 安息王

# === HISTORICAL FIGURES: MONKS AND DISCIPLES ===
Aniruddha | 阿那律
Upāli | 優波離
Gavāṃpati | 憍梵波提
Kauṇḍinya | 憍陳如
Maudgalyāyana | 目揵連
Śāriputra | 舍利弗
Madhyāntika | 摩田提
Piṇḍola Bhāradvāja | 賓頭盧
Bakkula | 薄拘羅
Yaśas (elder) | 耶舍
Dharmamitra | 達摩蜜多
Mañjuśrī | 文殊師利
Bhājrāputra | 婆闍弗
Lṛbhika | 梨婆提
Aśvajit | 阿失波毱多
Nandagupta | 難陀毱多

# === HISTORICAL FIGURES: LAYPERSONS AND MINISTERS ===
Rādhagupta | 羅提毱
Yushe (minister) | 雨舍
Nyagrodha | 尼俱律陀
Māṭharī | 摩啅羅
Caraka (physician) | 遮勒
Yaśa (minister) | 夜奢
Jintian (benefactor) | 天護
Zhenjinman (Kuṇāla's wife) | 真金鬘
Gīrikā (executioner) | 耆梨
Fāzēng (Aśoka's son) | 法增
Tiānfǎ (minister) | 天法
Jiā-luó-hé (father of a girl) | 迦羅和
Vāsudattā (courtesan) | 婆須達

# === BUDDHAS AND BODHISATTVAS ===
Buddha Śākyamuni | 佛
Maitreya | 彌勒
Vipaśyin Buddha | 毘婆尸佛
Kāśyapa Buddha | 迦葉佛
Krakucchanda Buddha | 迦羅鳩孫佛
Dīpaṃkara Buddha | 定光如來
Tathāgata | 如來
Bhagavat | 婆伽婆
World-Honored One | 世尊

# === SUPERNATURAL BEINGS ===
Māra (Pāpīyas) | 魔王波旬
Brahmā | 梵王
Brahmā | 梵天
Indra (Śakra) | 帝釋
Indra (Śakra) | 釋提桓因
Nāga King | 龍王
Nanda (nāga) | 難陀龍王
Upananda (nāga) | 跋難陀
Maṇibhadra (yakṣa) | 摩尼跋陀
Maheśvara | 大自在天
Four Heavenly Kings | 四天王
Asita (seer) | 阿私陀

# === PLACES ===
Rājagṛha | 王舍城
Pāṭaliputra | 華氏城
Kuśinagara | 拘尸那城
Mathurā | 摩突羅
Vārāṇasī | 波羅㮈
Kaśmīr | 罽賓
Magadha | 摩竭國
Vaiśālī | 毘舍離
Gṛdhrakūṭa (Vulture Peak) | 耆闍崛山
Kukkuṭapāda Mountain | 雞足山
Pippala Cave | 賓鉢羅窟
Kukkuṭārāma Monastery | 雞頭末寺
Deer Park (Mṛgadāva) | 鹿野苑
Lumbinī | 林微尼園
Urumūṇḍa Mountain | 優留茶山
Taxila | 得叉尸羅
Gandhāra | 乾陀越國
Jambudvīpa | 閻浮提
Himālaya (Snow Mountain) | 雪山
Kapilavastu | 迦毘羅
Bamboo Grove | 竹園
Bamboo Grove | 竹林
Śīriṣa Palace | 尸利沙宮
Kalandaka Grove | 迦蘭陀林
Jetavana (Anāthapiṇḍada's Park) | 給孤獨園
Śrāvastī | 舍衛國
Hiranyavatī River | 阿利跋提河
Hiraṇyavatī River | 熙連河
Ganges River | 恒河
Twin Śāla Trees | 雙樹
Mount Sumeru | 須彌山
Trāyastriṃśa Heaven | 忉利天
Tuṣita Heaven | 兜率天
South India | 南天竺
North India | 北天竺
